table_name,column_name,foreign_table_name,foreign_column_name
slack_notifications,project_id,projects,id
files,block_id,blocks,id
files,project_id,projects,id
files,organization_id,organizations,id
responses,block_id,blocks,id
portal_access_tokens,project_id,projects,id
activity_log,project_id,projects,id
templates,organization_id,organizations,id
templates,created_by,users,id
projects,template_id,templates,id
portal_visits,project_id,projects,id
tags,organization_id,organizations,id
project_tags,project_id,projects,id
project_tags,tag_id,tags,id
slack_integrations,organization_id,organizations,id
slack_integrations,installed_by_user_id,users,id
slack_notifications,slack_integration_id,slack_integrations,id
slack_notifications,activity_log_id,activity_log,id
organization_members,organization_id,organizations,id
organization_members,user_id,users,id
projects,organization_id,organizations,id
projects,created_by,users,id
project_members,project_id,projects,id
project_members,user_id,users,id
project_members,invited_by,users,id
pages,project_id,projects,id
blocks,page_id,pages,id
tasks,block_id,blocks,id
tasks,project_id,projects,id
